,County,Baseline_R,Baseline_D,2024_Sen_D,2024_Sen_R,2024_Sen_O,2024_Hou_D,2024_Hou_R,2024_Hou_O,2024_Pre_D,2024_Pre_R,2024_Pre_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Hou_D,2022_Hou_R,2022_Hou_O,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_LtG_D,2022_LtG_R,2022_LtG_O,2022_Sos_D,2022_Sos_R,2022_Sos_O,2022_Ag_D,2022_Ag_R,2022_Ag_O,2022_Tre_D,2022_Tre_R,2022_Tre_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2018_Con_D,2018_Con_R,2018_Con_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_LtG_D,2018_LtG_R,2018_LtG_O,2018_Ag_D,2018_Ag_R,2018_Ag_O,2018_Sos_D,2018_Sos_R,2018_Sos_O,2018_Tre_D,2018_Tre_R,2018_Tre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2010_Sen_D,2010_Sen_R,2010_Tre_D,2010_Tre_R,2010_Sos_D,2010_Sos_R,2010_LtG_D,2010_LtG_R,2010_Gov_D,2010_Gov_R,2010_Con_D,2010_Con_R,2010_Ag_D,2010_Ag_R,2008_Pre_D,2008_Pre_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Churchill,9889,2533.0,3277,9179,949,3199,8949,815,3178,9959,362,2423,7032,425,1931,7536,336,2223,7020,622,2081,7061,679,2519,6722,589,2874,5839,558,2288,6776,728,3051,9371,467,2173,7086,306,2000,7042,571,1869,7034,705,2338,6386,847,1805,6962,801,2116,7193,259,1960,6980,618,2240,7711,943,2210,7831,898,2472,5637,2738,5197,3114,4581,2267,5902,1696,6584,2746,4952,3309,4136,3490,6824,3113,9309,3082,9340,715.0,25516,19781,10034,0.7591628330215864,0.018553157069915574,0.028916637177089127,0.04418381274960821,0.11475658460138517,0.8309488903493251,0.167079520752237,0.05116020423638845,0.24968404024063495,0.17789515646800877,0.24108032688857883,0.31343432330077736,0.21935419573450268,0.04056208889774766,0.0019901920875434924
1,Clark,462299,512529.0,514181,440832,59056,524280,451148,19594,519681,492755,17966,357065,304047,20382,355799,312094,5533,347194,308672,24187,335249,312241,30304,354870,295834,27057,361801,274899,19378,348318,285717,42240,521802,430902,19725,356943,268748,19805,358993,266655,26341,352779,266198,32868,350906,260427,36454,338332,274496,34799,334773,285595,18277,337662,277708,31412,386178,303724,63329,402226,320048,44871,251534,192000,233186,184842,256551,155183,201375,218796,216747,224540,228467,179614,251273,152212,378889,256153,494463,458241,466313,486391,37608.0,2265461,1751240,834324,0.4799542038783947,0.12095429524222837,0.1136343390968685,0.010485712980516662,0.27542941001804433,0.7675167310020329,0.22942258057148077,0.0773777437701286,0.19190345126881525,0.17690489546027682,0.21681984456877665,0.3152060830085195,0.2238734592316654,0.06628360205387834,0.11083846103565953
2,Douglas,22082,11380.0,11674,22124,1455,9971,22176,1758,11551,23236,766,9466,18889,813,7896,20490,566,9014,19069,1070,8456,19071,1260,9480,18170,1182,10275,16432,1228,8993,18366,1552,11570,21629,924,8107,17079,655,8302,16741,1012,7961,16897,1185,8660,15723,1542,7382,16964,1540,7915,17166,576,7717,16928,1204,8410,17587,1653,8454,17415,2016,7434,12678,7220,12034,8218,10822,5733,14129,5270,14795,7018,11708,8465,10155,10670,14646,11524,21675,11444,21755,1325.0,49488,41225,21088,0.8378896300788357,0.0048271679805943,0.019405700424499697,0.01785324439053972,0.10306852637962402,0.8850697392359006,0.30272892662219525,0.11442086112795634,0.35007883565797454,0.11783952959028832,0.18204666160849772,0.3453622913505311,0.2568285280728376,0.09768588770864947,0.026893576691364034
3,Elko,15676,4434.0,4439,15850,1956,3468,15748,2244,4630,17343,481,3286,12180,725,2759,12679,643,2923,12173,1087,2903,12113,1095,3110,11721,1288,3288,11506,546,3045,11893,1122,4557,16741,669,3177,11440,461,2904,11492,779,2604,11443,1122,3109,10552,1452,2842,11172,1089,2875,11768,463,2887,11295,923,3198,13461,1705,3401,13550,1607,3245,8172,2905,7758,3253,7430,2423,8759,2194,9489,2912,7432,3305,6926,4541,10964,4508,16790,4358,16940,1206.0,53702,38408,18689,0.7190429077275567,0.009763590918558634,0.011846490314517809,0.053296188294105394,0.22310456154967714,0.8013434701103936,0.14655800874817745,0.04759425119766715,0.16421058112893147,0.1561346246455134,0.15099791321097972,0.28679972176146395,0.33479586922788807,0.05361442559794532,0.0012073563890695734
4,Esmeralda,364,45.0,71,336,39,67,309,7,72,367,3,67,344,41,73,365,0,63,338,50,62,337,51,72,335,43,77,302,33,59,328,59,74,401,2,68,270,17,51,280,39,50,274,47,60,258,50,56,270,41,57,291,16,55,282,22,66,312,42,64,329,27,80,267,87,220,100,199,61,247,48,289,79,220,88,200,103,302,74,401,49,426,30.0,729,596,335,0.785234899328859,0.0016778523489932886,0.006711409395973154,0.03691275167785235,0.18120805369127516,0.8741610738255033,0.2231543624161074,0.04865771812080537,0.33053691275167785,0.42686567164179107,0.2835820895522388,0.1582089552238806,0.09850746268656717,0.0,7.858090432284442e-05
5,Eureka,865,58.0,106,824,88,112,824,57,103,904,6,73,670,18,55,699,12,60,680,26,50,658,63,65,646,67,87,603,48,64,644,63,105,895,2,95,621,28,70,633,44,53,609,87,90,567,97,73,614,64,66,649,25,64,627,47,88,692,69,74,723,54,137,523,130,488,166,451,93,539,76,597,152,440,152,448,143,564,117,883,137,863,53.0,1855,1449,635,0.8578329882677709,0.0013802622498274672,0.0013802622498274672,0.005521048999309869,0.08971704623878538,0.7660455486542443,0.0759144237405107,0.004140786749482402,0.2608695652173913,0.14645669291338584,0.1732283464566929,0.33228346456692914,0.24566929133858267,0.0,0.00017152144794800248
6,Humboldt,6057,1338.0,1838,5499,630,1593,5629,527,1709,6129,153,1357,4455,298,1043,4843,156,1200,4487,420,1148,4495,428,1388,4229,473,1600,3755,370,1261,4314,484,1689,5877,194,1306,3975,188,1188,4021,339,1067,4061,415,1483,3543,501,1085,3957,474,1225,4102,164,1142,3987,380,1406,4397,581,1386,4520,526,1600,2836,1809,2501,1849,2311,1398,3065,994,3565,1649,2517,2161,1917,1908,3584,1472,6094,1214,6352,443.0,17285,12756,6795,0.7260896832862966,0.00799623706491063,0.010034493571652555,0.03645343367826905,0.22460018814675448,0.7618375666353089,0.1773283160865475,0.038726873628096584,0.21072436500470368,0.17306843267108168,0.2044150110375276,0.2696100073583517,0.27829286239882267,0.047093451066961,0.0006922445106131676
7,Lander,2011,386.0,538,1924,249,553,1875,223,481,2179,23,387,1674,152,295,1785,111,316,1679,214,308,1655,236,409,1566,230,478,1462,121,317,1666,222,496,2197,71,406,1566,115,349,1587,155,315,1571,203,427,1424,238,344,1528,211,393,1586,112,346,1561,179,417,1704,272,403,1828,182,485,1198,503,1118,513,1045,408,1242,276,1449,464,1113,540,990,573,1462,468,2225,410,2283,183.0,5734,4280,2306,0.749766355140187,0.002803738317757009,0.006308411214953271,0.04883177570093458,0.20070093457943924,0.7953271028037383,0.07126168224299065,0.035981308411214954,0.19042056074766356,0.19731136166522117,0.13226366001734605,0.2432784041630529,0.32437120555073723,0.07415437987857762,0.000401125586097018
8,Lincoln,1987,217.0,353,1960,142,346,2009,32,314,2106,28,321,1727,109,334,1799,0,264,1710,186,254,1705,187,297,1690,166,375,1536,138,281,1661,204,330,2067,33,312,1525,101,283,1547,120,266,1441,246,323,1328,286,265,1492,184,239,1610,82,262,1515,163,315,1609,197,285,1671,176,441,1310,498,1112,644,969,384,1256,379,1380,466,1103,710,796,517,1492,298,2099,254,2143,143.0,4499,3414,1680,0.8810779144698301,0.03866432337434095,0.006151142355008787,0.008201523140011716,0.056531927357937904,0.8380199179847686,0.14938488576449913,0.053309900410076154,0.25746924428822493,0.1505952380952381,0.15357142857142858,0.44821428571428573,0.17916666666666667,0.018452380952380953,0.00016336038299022992
9,Lyon,22116,9046.0,9182,21891,2213,8473,21322,2310,8953,23861,726,6243,16294,1079,5393,17290,776,5960,16338,1303,5607,16345,1513,6401,15731,1327,7160,13708,1178,5941,15855,1652,8472,20914,851,5709,14391,668,5526,14295,1102,5266,14210,1435,6092,13245,1487,4940,14350,1502,5647,14512,606,5320,14169,1258,6323,15231,2024,6145,16005,1611,5657,10470,5968,9614,6783,8477,5153,10852,4331,11936,6144,8991,7167,7874,8396,12149,8172,21214,7783,21603,1652.0,59235,46118,22937,0.7845743527473004,0.008543301964525782,0.01739017303439004,0.022420746779999133,0.14629862526562296,0.8064963788542434,0.15074374430807927,0.0433886985558784,0.2716076152478425,0.15791079914548545,0.21890395430963072,0.3330862798099141,0.2497711121768322,0.03265466277194053,0.011417809122219421
10,Mineral,1391,626.0,737,1327,224,766,1360,71,711,1528,26,660,1124,110,677,1184,0,612,1137,142,557,1132,187,649,1085,150,730,905,125,580,1099,196,829,1424,68,637,1013,132,570,1056,184,539,1067,202,687,903,209,549,1008,245,616,1066,100,563,1037,196,628,1140,220,637,1179,181,854,818,866,752,933,632,770,880,555,1132,822,699,1007,581,1080,1128,814,1439,798,1455,154.0,4554,3631,1742,0.6890663729000276,0.037179840264389974,0.016248967226659323,0.1553291104378959,0.0944643348939686,0.8085926741944368,0.12723767557146792,0.01019003029468466,0.33654640594877444,0.2973593570608496,0.2692307692307692,0.30597014925373134,0.07692307692307693,0.003444316877152698,0.00046872264433677754
11,Nye,17491,7589.0,7644,17219,1978,8132,17558,782,7557,18945,475,5955,13828,1032,6273,14371,0,5812,13818,1177,5460,14002,1247,5892,13649,1207,6407,12278,983,5637,13301,1766,7286,17527,562,5080,11642,627,4888,11394,1218,4606,11101,1784,4959,10730,1739,4520,11489,1408,4528,12210,647,4596,11690,1107,5252,11607,2496,5094,13320,1177,5278,7819,4747,7467,5468,6526,4367,8114,4223,8827,4949,7031,5545,5989,7154,9424,7196,17617,7012,17801,1422.0,51591,43104,22090,0.7831755753526355,0.029556421677802525,0.022271714922048998,0.015451002227171492,0.12801596139569413,0.8141239792130661,0.11917687453600594,0.03767631774313289,0.36221696362286565,0.22698053417836125,0.2612041647804436,0.31566319601629694,0.18103214124038025,0.007514712539610683,0.0010955603822890116
12,Pershing,1614,448.0,519,1618,154,443,1616,148,496,1764,28,419,1272,75,337,1366,52,384,1286,104,363,1269,140,435,1194,144,509,1049,105,387,1220,158,547,1730,23,437,1212,95,397,1272,95,360,1254,149,514,1062,180,346,1249,161,432,1262,46,367,1228,153,466,1286,219,429,1404,149,596,914,652,827,679,755,525,1009,395,1139,690,750,790,620,672,1074,539,1738,522,1755,128.0,6650,5415,1861,0.6797783933518006,0.056879039704524466,0.019759926131117267,0.03250230840258541,0.20609418282548475,0.7937211449676823,0.09602954755309326,0.041366574330563254,0.1902123730378578,0.12251477700161204,0.2369693713057496,0.3396023643202579,0.2289091886082751,0.008060182697474477,0.0004253362506922907
13,Storey,1992,875.0,920,1963,175,777,1974,226,914,2106,54,721,1724,112,605,1854,84,679,1744,135,642,1724,179,717,1682,146,811,1485,106,681,1681,181,902,1907,67,747,1528,72,725,1494,141,722,1475,161,818,1351,185,665,1468,211,728,1560,66,689,1502,151,791,1550,201,753,1615,190,841,1120,825,1066,966,901,749,1197,613,1352,818,1018,961,867,1100,1237,849,1960,785,2024,153.0,4104,3485,1632,0.848493543758967,0.006599713055954089,0.018077474892395983,0.012338593974175036,0.06628407460545194,0.8315638450502152,0.24820659971305595,0.07489239598278336,0.40487804878048783,0.15992647058823528,0.21262254901960784,0.2935049019607843,0.25857843137254904,0.051470588235294115,0.00600716644417902
14,Washoe,115589,130400.0,130833,115679,14915,103985,120748,23801,130042,127400,6218,98588,89943,5657,87600,100184,4150,94620,91802,7531,90531,91665,9826,98925,84762,8830,102633,75482,7017,93948,86514,11192,128124,116756,7254,91763,88072,6313,93826,86981,7411,91681,87221,9187,95211,80791,10765,83969,89821,13066,90349,91784,4872,86747,88542,11030,95740,97407,14774,97369,94733,17772,69860,62822,65759,60850,72655,52429,60611,70249,52424,80601,63273,58840,74832,48157,98749,76179,127426,117454,126524,118356,11453.0,486492,383847,193245,0.6745239639752297,0.024580106136038577,0.06244936133407321,0.01756168473376111,0.21534621867567025,0.7851331389850643,0.28860717942305136,0.11222179670545816,0.20994823458305,0.14155088100597688,0.18547439778519495,0.31810913607079094,0.2660870915159513,0.08697767083236306,0.029740223283364862
15,White Pine,3136,727.0,846,3159,328,841,2903,411,883,3364,52,704,2579,148,601,2696,69,612,2541,296,608,2580,236,646,2529,253,750,2361,118,645,2471,300,858,3403,67,738,2331,104,635,2351,256,569,2358,316,739,2136,349,641,2271,306,657,2375,188,654,2321,247,723,2592,434,707,2722,343,703,2200,1007,1682,1148,1563,760,1985,519,2262,971,1632,1103,1562,1229,2436,799,3462,651,3610,257.0,9080,7177,3529,0.7440434722028703,0.05977427894663508,0.013933398355858995,0.04166086108401839,0.14797269053922252,0.8701407273233942,0.12902326877525427,0.019646091681761183,0.23338442246063815,0.19438934542363276,0.1796542930008501,0.3553414565032587,0.2159251912723151,0.018135449135732503,0.00039450179202873503
16,Carson City,15243,13484.0,13455,15389,1956,10868,16112,3084,13372,16869,820,10338,12451,906,8865,14136,602,9822,12722,1122,9364,12784,1375,10452,11778,1264,11164,10335,1006,10079,11917,1547,12736,16112,891,9332,12574,714,9322,12329,1044,9250,12080,1351,9927,11242,1477,8371,12553,1723,8885,13125,635,8803,12345,1466,9741,13027,2058,9611,13125,2280,8714,9362,8834,8867,10130,7306,6733,11529,6676,11513,8882,8285,9692,7237,11610,11417,12634,16214,12569,16279,1514.0,58639,47400,23665,0.7123628691983123,0.021455696202531644,0.025506329113924052,0.023881856540084387,0.21377637130801688,0.7858860759493671,0.20856540084388187,0.06744725738396624,0.25234177215189874,0.18690048594971476,0.20769068244242553,0.3470103528417494,0.20143672089583772,0.05256708218888654,0.1566593376060955
