,County,Baseline_R,Baseline_D,2023_Ssc_D,2023_Ssc_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Ag_D,2020_Ag_R,2020_Ag_O,2020_Aud_D,2020_Aud_R,2020_Aud_O,2020_Tre_D,2020_Tre_R,2020_Tre_O,2018_Hou_D,2018_Hou_R,2018_Hou_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2016_Ag_D,2016_Ag_R,2016_Aud_D,2016_Aud_R,2016_Aud_O,2016_Tre_D,2016_Tre_R,2016_Tre_O,2012_Ag_D,2012_Ag_R,2012_Pre_D,2012_Pre_R,2012_Pre_O,2012_Sen_D,2012_Sen_R,2014_Gov_D,2014_Gov_R,2006_Hou_D,2006_Hou_R,2008_Hou_D,2008_Hou_R,2010_Hou_D,2010_Hou_R,2008_Pre_D,2008_Pre_R,2006_Sen_D,2006_Sen_R,2004_Pre_D,2004_Pre_R,2000_Pre_D,2000_Pre_R,2010_Gov_D,2010_Gov_R,2010_Sen_D,2010_Sen_R,2008_Ag_D,2008_Ag_R,2008_Aud_D,2008_Aud_R,2008_Tre_D,2008_Tre_R,2006_Gov_D,2006_Gov_R,2004_Ag_D,2004_Ag_R,2004_Aud_D,2004_Aud_R,2004_Tre_D,2004_Tre_R,2004_Sen_D,2004_Sen_R,2002_Gov_D,2002_Gov_R,2000_Ag_D,2000_Ag_R,2000_Aud_D,2000_Aud_R,2000_Tre_D,2000_Tre_R,2000_Sen_D,2000_Sen_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Adams,38764,19372.0,9022,13375,18820,26818,758,16096,29039,1284,18253,37567,721,17707,36476,1701,15859,37076,2619,16418,37087,2180,13290,25596,0,15861,22501,569,14879,23419,731,14218,31423,1847,14592,30491,2418,15301,31431,15423,28214,3062,14565,28448,3572,17382,23171,15091,26768,695,15763,25469,11040,16790,10754,18373,13415,30393,6787,22870,17633,26348,13587,16648,13658,28095,11215,20248,8474,22697,9534,21566,12004,30390,17894,22471,16633,24950,13034,17084,14055,25986,14304,24373,20128,19362,10610,26757,7405,15516,8633,21550,13797,16849,10657,19586,9776,21029,18303,37517,18187,37633,1953.0,103852,83005,40012,0.8998253117282091,0.014902716703813023,0.009637973616047226,0.0030721040901150534,0.05861092705258719,0.794096741160171,0.2117583278115776,0.09015119571110174,0.25740618035058127,0.12021393581925423,0.2034889533140058,0.3336998900329901,0.28448965310406876,0.046860941717484755,0.07730488429427247
1,Allegheny,261491,430909.0,226281,134870,393386,169913,9514,363872,200632,9204,430765,282923,8361,443172,246261,22805,396873,275586,31083,403809,270688,27832,377787,102704,9629,364716,168898,8151,355912,176356,9780,367621,259489,23017,357454,261323,28261,378619,256204,395012,207501,32092,375673,218207,36938,370372,219257,354218,264462,8161,363752,238806,207155,150024,282832,139233,395962,187944,226612,191853,372293,271892,298022,161147,367246,270886,329112,234980,213427,213895,232993,192262,288152,321753,442321,159480,376738,221279,275152,184066,316422,275035,385626,197193,415163,175612,296883,279060,209528,169402,246939,280898,337781,182827,286047,253596,305984,247385,434117,279571,437299,276389,21100.0,1250578,1020183,549729,0.7836113716852761,0.12011374429881698,0.04526932913016586,0.0014615024951405778,0.023659480701011485,0.8457198365391307,0.387651039078283,0.16384707449545816,0.2323445891570434,0.18104011249179142,0.2010918106921774,0.2887422711918054,0.23726417925923501,0.08946044323657656,0.6614987818179318
2,Armstrong,27139,8601.0,5085,11360,9523,18418,408,8064,19574,773,8457,27489,265,10663,24556,851,8221,26076,1490,8745,25864,1270,7521,16761,0,8840,15374,320,8570,15450,326,7177,23484,956,8387,20793,2220,10365,20561,10933,17959,1861,10810,17772,2080,12606,15355,9034,19713,476,9486,19411,7181,11502,9888,11967,13167,15902,7963,14489,10783,18136,11195,11250,11613,18489,10785,15163,6595,16097,7800,14695,8823,19356,15878,11704,12811,15081,9235,13310,11568,17601,14731,14182,17937,11181,9470,17090,7691,11638,9311,16259,13767,11493,11435,14124,11022,15051,7855,28091,6985,28961,1109.0,65558,53182,27557,0.9602873152570418,0.0068068143356774845,0.002312812605768869,0.0011093979165883194,0.005565792937460043,0.8412056710917227,0.16868489338497988,0.05061863036365687,0.27336316798916926,0.19494139420111042,0.2366367892005661,0.3440142250607831,0.1872482490837174,0.025039010051892442,0.03874348148813548
3,Beaver,54344,36712.0,20534,23215,36917,34777,1568,32691,38771,1979,38122,54758,1192,43430,47294,2712,36270,52024,4652,38201,51270,3522,32821,35108,5,36166,30593,1049,34442,31917,1301,32532,48168,2873,34264,44001,5058,38661,43599,40801,36890,4671,39495,37089,5457,42102,33427,36448,42315,957,39369,38071,24456,23303,38857,25648,52902,30116,32915,24444,40186,42870,39836,24434,41684,39710,38676,32454,25017,32646,27187,30120,33786,45749,51938,25275,44963,32977,35346,29050,40572,36620,49814,29313,57081,22920,37918,37378,27185,23719,35149,34725,48503,23547,41326,31155,41165,33576,36931,55949,35922,56958,2975.0,168215,136115,71994,0.8834221063071668,0.060919075781508285,0.005972890570473496,0.0014546523160562758,0.017602762370054734,0.8584726150681409,0.23587407706718583,0.07375381111560078,0.26465856077581457,0.18955746312192684,0.21776814734561215,0.31109536905853263,0.24103397505347668,0.035475178487096144,0.14941420996065125
4,Bedford,22304,2074.0,2251,8815,4721,17199,184,3796,17954,414,4367,23025,64,4739,22085,344,3798,22519,792,4348,22268,518,3489,15312,19092,4408,14261,19255,4567,14044,19268,3645,19551,337,4356,17739,1344,5348,17786,5176,16519,1346,5074,16286,1477,7360,13468,4753,16642,82,5514,15617,4758,9022,6037,10561,7135,15199,3488,12841,6059,16125,6894,9703,6007,16586,5416,13538,3638,12874,4128,12315,4924,16776,8050,12677,7271,14047,6372,10270,6408,15507,6974,14459,11520,10385,5341,14773,4470,10241,4760,13805,7383,11051,5968,12473,4750,13735,4044,23348,3372,24020,3617.0,47577,38284,19274,0.963039389823425,0.003656880158813081,0.003029986417302267,0.0016717166440288372,0.009220562114721555,0.8129505798767109,0.1417041061540069,0.05098735764287953,0.27988193501201547,0.2177026045449829,0.24457818823285254,0.33890214797136037,0.16779080626751064,0.01032478987236692,0.01814745450453715
5,Berks,108121,93161.0,42113,39828,78757,72186,3876,71349,78020,5456,93116,109926,2876,92774,103360,6725,83972,107554,9722,88616,105571,7829,88766,96413,1379,76138,65760,2390,73716,68163,2519,78437,96627,8002,77028,95467,6919,82011,92824,73202,90079,9799,79009,86004,8567,90162,76772,86019,88375,2688,87496,82081,54071,52178,58614,54056,89782,77605,48050,62996,96581,80208,63652,52613,76309,87123,58316,71068,45548,66506,49763,62291,77028,89988,92894,69182,87384,75988,66528,49928,69632,82750,71423,76282,90899,60258,60356,90319,56286,43662,49019,73516,69434,54191,52530,72929,49086,77720,92712,110330,92361,110681,6520.0,428849,333658,161798,0.753759837917868,0.04841784102284375,0.015057334156531538,0.004717405247289141,0.19554154253756842,0.7677861762643186,0.22682806946034562,0.08290824736706448,0.22146629183175587,0.15980420029913844,0.19877254354194737,0.3219013832062201,0.2513380882334763,0.06427767957576731,0.19334156864689891
6,Blair,44232,18294.0,7530,18195,17716,31824,509,14762,34214,1142,17635,45305,356,17495,43912,1687,15245,44824,2688,16592,44443,1907,12507,30874,464,14636,28193,1251,14612,27846,1633,13957,39135,1815,15106,36532,3149,17168,37225,16880,34315,2990,16546,34205,3280,21427,30197,16649,35206,640,17860,33858,13334,19205,15024,23880,20826,32167,10121,25359,19812,32707,17178,21503,17997,35496,15752,28288,9749,26198,11257,24410,14030,37522,22617,27084,20076,30861,15434,23295,16574,35041,18709,31999,29856,22000,14582,34215,10355,23528,10437,32786,18589,24425,15346,27728,12861,30339,17494,45446,17018,45922,1995.0,122822,98475,50121,0.9363899466869764,0.01895912668189896,0.00724041634932724,0.0014318354912414319,0.011332825590251333,0.8263823305407464,0.20755521706016755,0.0652957603452653,0.2567250571210967,0.21761337563097305,0.24632389617126554,0.3056802537858383,0.19237445382175136,0.031184533429101574,0.09028360734547582
7,Bradford,21514,8323.0,3891,9502,7388,15529,431,6632,16033,816,8046,21600,351,8000,20632,931,6866,20846,1575,6465,22175,926,5735,14305,0,6824,13011,386,6900,12972,310,6369,18141,1198,6985,16574,2000,7379,17785,6715,16716,1684,7290,15872,1921,9280,12842,8624,14411,209,8234,14424,5082,9904,8813,10057,13127,12227,6528,10591,10305,15058,8277,10803,8589,16942,7910,14659,4741,12474,5080,12075,7365,16852,9496,13542,9159,14674,8485,10670,7246,17223,7961,15789,11084,13250,6172,17546,4946,10814,6129,15384,8976,12621,6559,15110,6149,16314,7866,21780,7456,22190,1089.0,59967,46941,24143,0.9426514134764917,0.005794507999403507,0.007498775058051597,0.002513793911505933,0.011567712660573912,0.8139579472103279,0.1755821137172195,0.06369698131697236,0.2704245755309857,0.1968686575819078,0.26264341631114607,0.2993000041419873,0.19811125377956343,0.023236548896160378,0.020177762972608756
8,Bucks,185109,203534.0,110181,88381,185339,122981,5720,164535,141340,8435,204712,187367,4155,199992,181357,10104,181635,193356,13752,191229,186887,11389,141577,152461,0,172303,117912,4115,165408,124132,4776,167060,164360,12876,157710,175897,5845,169848,164699,153855,167172,10983,162462,159697,9770,162313,143950,160521,156579,3915,162258,147596,103813,94675,113971,115524,181993,137775,104799,123826,179031,150248,134078,95627,160827,153093,130629,120863,102144,126190,107207,121330,146640,166418,168945,138216,159698,147915,161432,69276,143876,151884,141509,145817,161887,130918,124483,174314,125871,69533,105694,131271,130310,108716,107353,129665,102049,143416,203176,188903,201796,190283,8669.0,646538,515340,246621,0.8405984398649435,0.038151511623394266,0.052309155120891064,0.001728955640936081,0.050500640353941084,0.8511603989599099,0.38673691155353745,0.15744945084798387,0.2357880234408352,0.09667059982726532,0.13625765851245433,0.2703054484411303,0.3203741773814882,0.17513512636798975,0.4130486308226691
9,Butler,76838,39788.0,17583,27960,40066,51547,1850,33921,57168,2246,37508,74359,1438,40634,68359,2945,33213,72828,4639,34085,72888,3873,28498,50374,679,32890,45240,1577,31010,46873,1609,28584,64428,4059,28715,62426,5465,31978,63470,32929,56606,5562,32081,56618,6163,34886,49850,28552,59766,1134,30622,56326,20166,35825,24859,37064,40711,48399,21560,43619,32262,57079,27820,34256,30591,55608,25040,44015,18405,47156,20472,44433,24366,61707,42408,41442,32094,53094,24938,38617,27976,53183,36180,42561,44566,36016,25521,48420,18147,32404,21016,46749,32573,34410,26682,40799,24820,44574,38301,73566,38939,72928,3809.0,193763,155325,78870,0.9360630935136005,0.010925478834701432,0.014150973764686946,0.0011009174311926607,0.015303396104941252,0.8528118461290842,0.3422758731691614,0.12199581522613874,0.2360148076613552,0.14702675288449346,0.17408393559021174,0.29818688981868896,0.2834284265246608,0.09344490934449093,0.09476121775278151
10,Cambria,48149,20391.0,10957,21519,22884,32380,798,18850,35846,1636,21730,48087,500,25424,43037,1501,20664,45880,2881,23929,43690,1894,18571,30835,0,21649,27525,494,21580,27350,399,18867,42259,1947,21894,36949,3886,26869,34793,27422,30302,3895,27980,29387,4008,33848,23636,24132,35003,1040,28636,30077,21442,17842,35527,16988,43487,22415,25570,21951,32452,31997,33198,18929,32594,34054,30268,27934,20105,27446,23028,24255,27818,35108,43082,17874,38267,23819,31857,20507,32630,31460,37639,25437,49835,14564,28031,33749,20343,25589,25734,32073,36996,20788,34171,23454,28933,29518,20649,49168,19448,50369,2001.0,133472,108388,55322,0.9206092925416097,0.03660921873270104,0.005950843266782301,0.0010517769494778019,0.014687972838321585,0.8153393364579105,0.1967930029154519,0.06129829870465365,0.27735542680001474,0.23310798597303062,0.2589385777809913,0.303532048732873,0.17269802248653338,0.021058530060373813,0.07495592958392698
11,Cameron,1551,565.0,324,1018,638,1200,50,547,1247,92,634,1771,19,673,1677,61,525,1701,161,611,1713,78,527,1241,0,619,1127,24,653,1080,22,530,1589,52,593,1390,171,713,1404,669,1287,146,699,1246,154,906,1081,724,1358,22,768,1277,608,778,689,1065,853,1299,387,1113,878,1322,847,913,794,1599,779,1383,460,1100,556,1005,696,1437,1079,965,951,1097,793,989,811,1463,946,1281,1321,948,692,1412,571,1032,713,1339,1059,1023,886,1190,626,1525,636,1769,621,1784,76.0,4547,3751,2084,0.9546787523327113,0.004265529192215409,0.0039989336177019465,0.0021327645961077045,0.013063183151159691,0.8651026392961877,0.09517462010130631,0.011463609704078913,0.34017595307917886,0.30806142034548945,0.286468330134357,0.2768714011516315,0.09644913627639155,0.010076775431861805,0.004430754719187399
12,Carbon,23176,10786.0,5598,8785,10742,14942,544,9682,15658,891,11211,21984,316,12233,19898,924,10543,20751,1490,11006,20763,1048,8902,13447,0,9659,12476,323,8738,13519,171,8937,18742,1097,10085,16360,1770,11512,15942,10446,14819,1980,11226,14106,1935,12888,10705,11365,13261,468,11660,12572,8935,7752,12214,5138,12525,13905,7449,11644,13464,12957,9997,7438,12219,12504,10646,9692,7820,11286,8544,10415,11916,13148,13575,9630,13634,10380,10634,6917,11122,11655,11478,10437,14269,8602,9590,13534,8598,6601,8868,9923,11352,7635,9680,9393,8877,10598,10924,22271,10734,22461,1139.0,64749,52290,26431,0.9203289347867661,0.016351118760757316,0.0051061388410786005,0.0022757697456492637,0.043105756358768406,0.8290304073436604,0.16035570854847964,0.057295850066934405,0.2599541021227768,0.19745753092959026,0.23044909386705006,0.3179221368847187,0.21573152737316031,0.026824562067269495,0.06556024243995197
13,Centre,34713,42260.0,20242,18730,35653,25201,1163,32596,27902,1562,40055,36371,1066,38126,35957,2585,34877,37795,3473,36802,36246,3103,32634,27941,41,34960,24352,1401,34778,24332,1579,37087,35274,3786,35486,36527,4378,38224,37050,35334,33232,5662,35125,32470,6447,38128,26733,34200,34028,1449,34181,32138,22393,16554,19289,22817,33497,37356,16744,25506,41630,32422,24259,18278,30733,33133,21411,26172,20268,24047,21429,22745,30579,38832,39997,27027,37083,31344,23147,19623,27281,32214,27214,30727,37561,21613,24459,33902,14557,19027,15284,29282,22079,22378,18750,25815,16705,30002,41091,35335,42064,34362,2961.0,158172,134439,56825,0.8289633216551745,0.03664115323678397,0.07599729245233898,0.0012496373820096848,0.034967531743020995,0.6739041498374727,0.32633387633052907,0.16086849798049674,0.17041929797157074,0.19790585129784427,0.2018301803783546,0.28506819181698195,0.2339111306643203,0.07421029476462825,0.0550826577664451
14,Chester,123458,187100.0,92599,64621,160797,92586,4644,147559,104021,6383,182371,128565,3565,169172,134371,8293,157950,141239,11593,162895,137798,9470,161869,119716,1314,145213,87874,3794,140138,92379,4273,141682,116115,11004,127552,133662,9588,134067,133583,119097,129206,17367,127864,122171,16427,125083,117728,125040,126034,2829,126510,120427,81188,75869,81000,89565,113157,131907,68006,104906,137833,114420,94645,77508,107863,118092,82179,100495,76439,97111,80737,92666,104139,137018,120606,113080,114793,133127,112048,60062,95812,121372,94159,116225,114631,99331,81548,131670,81996,58668,63974,111593,84512,86537,66097,107842,63234,116940,187379,123557,192611,118325,9174.0,534413,412886,199082,0.7974525655992211,0.0554123898606395,0.06053244721303217,0.0024147101136875555,0.06892217222187239,0.8356035322098594,0.489159235236845,0.20180146577990052,0.21204400246072766,0.08402567786138375,0.1198350428466662,0.24852573311499784,0.3216463567776092,0.2233200389789132,0.27491229153163166
15,Clarion,13894,4273.0,2543,6143,5114,10019,161,4326,10619,340,4678,14578,112,5557,13314,391,4244,14125,833,4567,13981,628,3847,9958,0,5191,8594,239,4924,8838,165,4272,12577,686,4931,11311,1204,5618,11607,5667,10411,1039,5723,10134,1174,6550,8751,5056,10829,227,5105,10451,4371,6418,4596,8196,7026,10019,2916,8764,6745,10737,6080,6801,6048,11062,5463,9504,3565,8827,3998,8266,5197,11851,8702,7777,7192,9328,5451,7505,5837,10514,6756,9249,9423,6841,4853,10336,3895,7237,4704,9753,7105,7377,5845,8669,5337,9538,4315,14941,3820,15436,555.0,37241,29966,14513,0.9473736901822065,0.015684442368017085,0.004705332710405126,0.001134619235133151,0.009343923112861243,0.7684041914169392,0.18537676032837216,0.06794366949209103,0.24384302209170394,0.2304141114862537,0.23895817542892578,0.3161992696203404,0.18225039619651348,0.012333769723695997,0.02393138995615481
16,Clearfield,29303,9647.0,4696,12435,10326,20526,403,8533,21948,854,9673,29203,380,10744,27309,870,8745,28236,1831,10078,27569,1227,7367,19476,0,9235,17241,209,9540,16852,206,8200,24932,1139,9454,22128,2429,11344,22229,11279,20257,2002,11437,19664,2293,14952,15473,11109,20320,502,11271,19823,9560,11083,11944,13446,15582,17424,7262,16568,14555,18663,14185,11480,13518,20533,11718,18013,9018,15681,9684,14807,11217,20941,17600,13287,16409,15363,12937,12830,13881,18588,15078,17243,21720,11005,11556,19106,10221,13822,10237,18539,15181,13660,13683,15269,10415,18581,9142,29734,8138,30738,1190.0,80562,65948,31129,0.9338114878389033,0.027552010675077333,0.0057317886819918725,0.0008339904166919391,0.035315703281373206,0.8068781464183903,0.16726815066415965,0.053678655910717535,0.24962091344695822,0.2203090365896752,0.24912461049182436,0.34074335828327285,0.1594975746088856,0.012303639692890873,0.027158849027382696
17,Clinton,12310,5493.0,2958,5747,5293,8512,201,4749,8790,476,5501,11903,130,6060,10932,443,5115,11473,736,5480,11360,543,4630,7731,0,5516,6727,161,5288,6868,145,4743,10021,628,5510,8702,952,6216,8682,5578,8224,966,6246,7662,954,6456,5227,5380,6702,154,5490,6443,4381,3631,4254,5449,6229,7916,2859,6194,7096,7503,5287,4490,5665,7917,5361,5961,3624,5676,3807,5409,5838,8103,7427,5910,7148,6636,5464,4340,5309,7223,5389,6652,7783,4848,4489,7828,4227,4364,4131,6332,5829,4605,4771,5926,4207,6590,5239,12165,4926,12478,557.0,37450,29598,14470,0.9460098655314548,0.011723765119264816,0.006149064125954456,0.001925805797689033,0.013818501250084466,0.7507601864990878,0.16038245827420772,0.05023988107304548,0.23511723765119263,0.2175535590877678,0.23697304768486524,0.32218382861091915,0.19198341395991708,0.012232204561161022,0.016283656513549568
18,Columbia,20142,11015.0,5123,8708,10147,13958,511,9022,14830,892,10532,20097,428,11689,17990,1040,9692,19143,1588,11391,18107,1211,9826,12691,2,9823,12425,236,8838,13438,178,8933,18004,1290,9819,16292,1991,11081,16539,10588,15122,1880,12035,13590,2028,12416,11685,10805,14114,288,11214,13386,6461,8517,11465,6711,11459,16172,5605,12697,13193,14449,9328,8970,6265,9936,5003,7508,6137,12153,6869,11288,10363,15998,13596,11409,13225,12600,9283,9078,5898,9297,6571,8312,9410,5999,4854,10208,3882,5745,4038,7881,6375,5533,4968,7181,4120,8195,10721,19908,10862,19767,1115.0,64727,53098,25750,0.9298843647595013,0.013239670044069457,0.011695355757278994,0.0015066480846736223,0.028117819880221478,0.7537007043579795,0.2058834607706505,0.0770838826321142,0.2403480357075596,0.2138252427184466,0.23766990291262136,0.3189514563106796,0.18516504854368931,0.026097087378640776,0.051717718274387474
19,Crawford,28838,12388.0,6504,12553,12608,19541,497,11080,20991,960,12924,28560,361,13341,26756,1261,11586,27662,1892,12267,27289,1582,12065,18563,158,12330,18147,370,11719,17812,342,10970,24986,1534,11046,24472,1740,12586,23857,11503,22594,2435,12389,21669,2407,13596,17868,13055,19810,554,12367,20020,9576,12737,9631,16923,15737,21755,9753,17075,16779,20750,13479,14260,16013,21964,13241,18809,8891,17882,9984,16754,12015,23980,18902,16331,16271,19291,11694,16201,12231,23092,15242,18768,18525,16942,11309,23214,9155,15551,9640,20391,15022,14961,13491,17164,11000,20280,12542,28942,11925,29559,1316.0,83938,66608,33054,0.9366892865721835,0.018105933221234688,0.004594042757626712,0.0015463607975018017,0.011935503242853711,0.7963607975018016,0.17840199375450397,0.06392625510449196,0.2604341820802306,0.2092938827373389,0.2467174925878865,0.34561626429479037,0.16076722938222304,0.01996732619350154,0.032013162551716566
