,County,Baseline_R,Baseline_D,2024_StH_D,2024_StH_R,2024_StH_O,2023_Ssc_D,2023_Ssc_R,2022_Sos_D,2022_Sos_R,2022_Sos_O,2022_Ag_D,2022_Ag_R,2022_Ag_O,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Tre_D,2022_Tre_R,2022_Tre_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Hou_D,2020_Hou_R,2020_Hou_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_Sos_D,2018_Sos_R,2018_Sos_O,2018_Tre_D,2018_Tre_R,2018_Tre_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2018_Ag_D,2018_Ag_R,2018_Ag_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2014_Ag_D,2014_Ag_R,2014_Ag_O,2014_Gov_D,2014_Gov_R,2014_Gov_O,2014_Sos_D,2014_Sos_R,2014_Sos_O,2014_Tre_D,2014_Tre_R,2014_Tre_O,2014_Hou_D,2014_Hou_R,2014_Hou_O,2012_Gov_D,2012_Gov_R,2012_Gov_O,2012_Pre_D,2012_Pre_R,2012_Pre_O,2012_Hou_D,2012_Hou_R,2012_Hou_O,2012_Sen_D,2012_Sen_R,2012_Sen_O,2012_StH_D,2012_StH_R,2012_StH_O,2010_Gov_D,2010_Gov_R,2010_Gov_O,2010_Sos_D,2010_Sos_R,2010_Sos_O,2010_Tre_D,2010_Tre_R,2010_Tre_O,2010_Hou_D,2010_Hou_R,2010_Hou_O,2010_Sen_D,2010_Sen_R,2010_Sen_O,2010_Ag_D,2010_Ag_R,2010_Ag_O,2008_Pre_D,2008_Pre_R,2008_Pre_O,2006_Gov_D,2006_Gov_R,2006_Gov_O,2006_Sos_D,2006_Sos_R,2006_Sos_O,2006_Tre_D,2006_Tre_R,2006_Tre_O,2006_Sen_D,2006_Sen_R,2006_Sen_O,2006_Ag_D,2006_Ag_R,2006_Ag_O,2004_Pre_D,2004_Pre_R,2004_Pre_O,2004_Sen_D,2004_Sen_R,2004_Sen_O,2002_Gov_D,2002_Gov_R,2002_Gov_O,2002_Sos_D,2002_Sos_R,2002_Sos_O,2002_Tre_D,2002_Tre_R,2002_Tre_O,2002_Ag_D,2002_Ag_R,2002_Ag_O,2096_Pre_D,2096_Pre_R,2096_Pre_O,2000_Pre_D,2000_Pre_R,2000_Pre_O,2092_Pre_D,2092_Pre_R,2092_Pre_O,2098_Ag_D,2098_Ag_R,2098_Ag_O,2094_Ag_D,2094_Ag_R,2094_Ag_O,2094_Sos_D,2094_Sos_R,2094_Sos_O,2098_Sos_D,2098_Sos_R,2098_Sos_O,2000_Hou_D,2000_Hou_R,2000_Hou_O,2000_Sen_D,2000_Sen_R,2000_Sen_O,2098_Gov_D,2098_Gov_R,2098_Gov_O,2098_Tre_D,2098_Tre_R,2098_Tre_O,2098_Sen_D,2098_Sen_R,2098_Sen_O,2096_Hou_D,2096_Hou_R,2096_Hou_O,2094_Gov_D,2094_Gov_R,2094_Gov_O,2094_Tre_D,2094_Tre_R,2094_Tre_O,2094_Sen_D,2094_Sen_R,2094_Sen_O,2092_Hou_D,2092_Hou_R,2092_Hou_O,2092_Sen_D,2092_Sen_R,2092_Sen_O,2090_Gov_D,2090_Gov_R,2090_Gov_O,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
16,Dunn,14138,10833.0,10372,14419,0,6302,5881,7655,9949,780,8245,10107,0,8299,9899,135,7876,10545,0,7742,10055,386,9896,13172,399,10666,12616,0,8666,9255,535,9019,9117,0,8683,8941,422,9743,8622,0,8536,9139,475,9033,11485,1586,9490,11425,896,6608,7889,610,7065,8229,137,7270,7123,690,6562,7224,1159,8263,6982,0,7098,8417,67,11315,10225,442,12673,7912,14,10671,10037,800,10425,10391,0,5972,7282,157,6458,6879,2,6020,7226,5,6489,6573,534,6086,7224,0,5760,7641,4,13002,9566,421,8069,6208,298,8214,5247,637,7117,5858,1009,9783,4234,490,8105,6122,8,12040,10879,202,13030,9373,166,5522,4561,365,6312,4379,82,5176,5006,546,6177,4776,0,7536,4917,2956,9173,8911,1247,7963,5282,105,6473,3712,78,4916,3889,45,5046,3419,94,5906,4006,145,11850,5814,0,11868,5835,286,4927,5763,59,4861,4622,256,5480,5125,35,7705,6751,0,3578,5524,98,3494,4448,338,5635,3442,39,7050,8900,151,8800,7333,237,4900,4612,2,397.0,45440,36191,17408,0.9200906302671935,0.008455140780857118,0.028266696139924292,0.0040065209582492885,0.01837473404990191,0.7281920919565638,0.23091376309027106,0.07863833549777569,0.19491033682407227,0.17899816176470587,0.20237821691176472,0.3532858455882353,0.22202435661764705,0.026309742647058824,0.020636900904272303
17,Eau Claire,26659,34202.0,33208,28145,30,21122,11884,25722,19882,2287,27834,20173,3,28040,19835,444,26510,21183,36,26011,20384,1273,31603,25330,1314,33191,24251,12,26762,20855,1209,27629,20088,8,27103,19367,1291,29608,18958,7,26476,20547,1222,27336,23327,4354,27524,24644,1983,19352,20110,1506,21236,20303,525,21515,17183,1816,19262,17762,3044,24072,17280,12,20592,20736,266,30662,23251,884,33635,17716,16,29052,23030,1740,33920,11445,470,18356,17986,495,19297,16514,14,17707,17760,20,20275,15521,1257,18809,17916,6,16530,19659,17,32953,20896,902,22130,15671,929,22298,13069,1775,19061,15333,2386,27430,9875,1133,21561,16265,13,29878,24571,706,32975,21134,286,15954,11941,1571,18639,11797,659,14476,13900,2443,18315,13403,9,20295,13894,6165,24072,20914,2875,21216,15909,59,20025,9116,646,15576,10788,372,15866,9384,851,17645,10573,982,31060,14523,405,32032,13900,862,12714,17160,541,14200,12983,1279,16513,13446,415,22017,17132,149,9742,16988,393,10347,13432,1404,18015,8889,244,18490,24912,1224,25842,19486,599,12708,14856,0,1047.0,105710,83793,42279,0.9033093456493979,0.010740754000930865,0.03648276108982851,0.004821405129306744,0.023283567839795686,0.7710667955557147,0.26750444547873925,0.08944661248552982,0.19589941880586684,0.15333853686227206,0.20996239267721564,0.34383500082783414,0.23676056671160622,0.04872395278980109,0.06398178416633932
18,Florence,2298,818.0,732,2347,0,471,1099,615,1833,43,643,1864,0,655,1838,14,620,1898,0,605,1855,25,781,2133,13,751,2149,0,642,1502,33,675,1474,0,647,1453,21,730,1438,0,631,1478,20,665,1897,90,759,1769,85,597,1233,59,628,1348,9,683,1153,75,616,1173,93,599,1306,16,717,1337,3,952,1644,22,867,1505,0,908,1586,55,809,1447,0,612,1196,14,673,1099,0,591,1168,0,694,1139,0,645,1187,0,560,1230,0,1135,1511,38,864,1079,15,850,880,43,692,1001,50,1053,776,20,793,1007,0,992,1703,28,1183,1430,9,608,842,4,612,778,0,460,888,12,530,879,0,869,927,346,816,1528,61,978,942,6,789,740,11,830,854,5,817,749,13,699,797,13,539,1619,0,1106,1066,13,505,1104,5,547,896,13,696,883,2,966,1048,0,473,1318,18,488,1032,36,988,807,0,702,1793,0,1038,1323,20,586,808,0,23.0,4558,3848,2092,0.9641372141372141,0.0018191268191268192,0.0012993762993762994,0.005717255717255718,0.009355509355509356,0.862006237006237,0.18996881496881496,0.04158004158004158,0.31782744282744285,0.22036328871892927,0.2566921606118547,0.3398661567877629,0.14483747609942638,0.017208413001912046,0.0036053423611907597
19,Fond du Lac,36497,20370.0,18505,37786,8,11966,18002,15684,28802,1507,16159,29998,0,16598,29641,358,15983,30584,0,15020,29297,1149,20587,35754,909,20191,36176,0,16438,27940,806,17631,26648,2,16496,26272,1133,19065,25495,2,16778,27365,675,17387,31022,3387,17131,32464,1734,14336,26185,1254,15013,27486,313,16436,23282,1425,14062,24194,2434,16024,24713,912,16105,29061,197,22379,30355,668,16049,33411,5,21273,29539,1482,16079,30997,0,13144,24407,234,14697,21930,6,13027,23359,4,9921,27629,6,12834,24866,0,11043,26077,4,23462,28164,696,16059,21507,638,18090,17083,1556,13818,20405,1959,22937,13855,992,13965,23602,39,19216,33291,529,21514,30853,176,10390,17649,737,14663,14738,579,10109,17246,2211,15713,15211,0,15542,16486,4891,18120,26455,1859,13758,19785,236,16365,10891,402,11945,13866,260,13785,10724,776,13770,11880,605,13482,31899,10,24251,20897,557,7665,19598,379,9883,15612,818,10900,17407,187,7816,28582,1124,6478,19320,449,8225,15241,1310,12538,13580,225,21686,23484,6,20582,23426,700,7991,16045,0,898.0,104154,82059,42283,0.9010224350772006,0.019522538661207182,0.01085804116550287,0.004996405025652274,0.05154827624026615,0.8190204608878977,0.20434077919545693,0.06578193738651458,0.2320525475572454,0.13511340254948798,0.2151928671097131,0.35718846817870065,0.2512830215453019,0.03275548092614053,0.05588725320541198
20,Forest,3330,1687.0,1555,3483,0,1005,1547,1363,2572,153,1538,2607,0,1452,2670,29,1371,2784,0,1339,2649,58,1720,3284,18,1776,3211,0,1485,2420,52,1635,2196,2,1523,2191,46,1878,2061,0,1488,2296,35,1579,2786,179,1651,2589,203,1412,1883,78,1511,2031,26,1680,1577,122,1445,1617,228,1361,2078,33,1485,2180,29,2425,2172,35,1951,2327,0,2289,2028,139,2110,2106,8,1564,1791,13,1704,1424,0,1536,1559,0,1839,1534,0,1687,1722,0,1328,1957,0,2674,1964,32,1853,1712,31,2043,1150,38,1598,1470,98,2574,846,23,1654,1704,0,2509,2609,20,2828,2092,2,1434,1332,45,1678,1037,5,1167,1171,356,1508,1324,0,2092,1165,706,2158,2404,154,1905,1393,1,2190,977,9,1586,1265,9,1703,902,37,1961,1062,34,1214,2919,0,3194,1132,32,1426,1987,7,1465,1358,22,1732,1634,2,1903,1571,0,1051,1957,17,1114,1338,74,1932,1052,3,1277,2581,0,2121,1915,10,1364,1710,0,46.0,9179,7302,3651,0.8540125992878663,0.003423719528896193,0.0015064365927143248,0.10449192002191181,0.009997261024376883,0.8170364283757875,0.13037523966036701,0.021227061079156395,0.28594905505341,0.22377430840865517,0.2451383182689674,0.3541495480690222,0.12407559572719803,0.011229800054779512,0.0034942646702775465
21,Grant,15356,11240.0,9378,17131,6,7048,6662,8495,10634,755,8674,11201,6,9233,10594,142,8670,11397,9,8314,10936,360,10991,14137,397,11960,13109,6,9660,9497,310,9767,9373,2,8950,9660,369,10548,8856,2,9074,9783,254,10045,12344,1966,10920,12191,785,8178,8576,704,8702,9148,212,9013,7519,800,7777,7962,1344,10565,7236,0,8617,9492,77,13588,10249,308,14523,7113,8,12021,10897,687,10656,12737,0,7567,8602,145,8049,7695,12,7099,8504,17,8507,7473,527,7941,8464,0,6514,9475,6,14867,9060,344,9235,7419,237,9377,5948,517,7683,7233,683,11614,4534,377,7987,8367,9,12856,12199,139,12754,11568,44,6169,5943,316,7212,5766,73,5706,6759,471,6567,6650,13,9199,7016,2982,10685,10233,1025,8909,7672,105,7028,5389,101,6138,6695,64,6247,5936,191,6244,5950,136,12136,7954,42,13091,7464,174,4670,8365,73,4829,6904,165,5823,7166,44,7187,10835,24,3827,9583,117,3951,7496,389,7138,6081,79,6357,14130,96,9659,12025,120,4128,6777,0,291.0,51938,40847,19690,0.9446470977060739,0.013073175508605282,0.007858594266408794,0.002546086615908145,0.020956251377090118,0.7310206379905501,0.1889490048228756,0.06690821847381692,0.21808211129336305,0.1691721686135094,0.23671914677501268,0.35647536820721176,0.19746063991874047,0.017064499746063992,0.017485222499102813
22,Green,10323,11041.0,10559,10753,0,7598,5211,8838,7859,652,8999,8355,0,9603,7682,122,9097,8350,2,8632,8001,458,10851,10169,321,11060,9874,4,9379,7333,299,9596,7144,2,8789,7310,437,10294,6732,2,8858,7662,258,9106,8679,1163,10189,8093,524,7513,6922,438,7934,7182,114,8311,5902,601,7050,6360,1140,8288,6539,2,7965,8384,65,11189,7837,172,10229,7984,0,10702,7934,404,10200,8285,274,6557,6377,159,7065,5738,2,5992,6629,2,6744,6459,0,7036,6090,0,5600,7362,2,11484,6714,302,7756,5138,323,8022,4091,595,5964,5775,768,9681,3014,469,6807,6266,0,9560,8479,131,10949,6985,55,5139,3572,291,6314,3875,160,4373,5162,809,5965,4658,2,6127,4684,1779,7850,6775,623,5459,4878,41,7166,2932,169,6116,3798,61,5894,3231,431,5888,3513,216,5120,9127,0,10245,4575,104,3605,6740,118,4172,5095,374,5701,4941,41,4307,8427,49,3184,6806,211,3343,5227,663,7068,3122,48,5376,8538,134,7159,6682,203,3175,4446,0,382.0,37093,28864,15359,0.9390243902439024,0.004434589800443459,0.0048849778270509975,0.0026676829268292685,0.03041851441241685,0.8478727827050998,0.22259562084257206,0.0680778824833703,0.2410268847006652,0.13744384400026044,0.20164073181847778,0.3505436551858845,0.2528810469431604,0.042060029949866524,0.02452223846328275
23,Green Lake,7309,3401.0,2953,7802,0,2187,3767,2579,5757,271,2796,5849,2,2746,5863,72,2626,6060,0,2392,5783,258,3343,7168,140,3218,7312,0,2633,5410,121,2836,5210,0,2662,5119,196,3222,4893,0,2685,5294,63,2693,6215,507,2773,6214,330,2374,5052,236,2463,5336,39,2686,4681,266,2212,4806,540,2629,4907,125,2563,5800,52,3792,5783,81,3048,6090,0,3637,5601,293,2973,6206,0,2262,4489,57,2596,4141,0,2280,4414,0,2045,4883,4,2250,4693,0,1934,4909,0,3999,5393,132,3121,4713,150,3436,3819,344,2613,4475,400,4710,2956,223,2694,5106,8,3604,6472,95,4042,5990,51,2233,3322,173,2639,3199,172,1971,3497,438,2605,3483,0,3151,3564,1165,3300,5450,355,2771,3897,36,2847,2868,58,2110,3450,43,2302,2959,112,2363,3109,70,2299,6489,6,4275,4575,98,1639,4297,48,1736,3539,77,2127,3782,40,1450,5807,236,1269,4341,85,1310,3823,145,2055,3437,49,3912,5164,0,4018,5067,110,1526,3412,0,197.0,19018,15013,8002,0.9349896756144674,0.005661759808166256,0.005062279357889829,0.0033304469459801505,0.03903283820688736,0.8096982615066942,0.19349896756144674,0.06247918470658762,0.2779591021115034,0.14808797800549864,0.23981504623844038,0.3514121469632592,0.220319920019995,0.022619345163709073,0.021007308042381344
24,Iowa,6304,7901.0,7249,7144,2,5453,3107,6431,4661,427,6622,4936,0,6836,4716,71,6514,5082,4,6313,4835,240,7828,5908,239,8062,5596,0,6674,4288,187,6819,4123,0,6382,4260,187,7270,3834,2,6375,4472,150,6668,4809,797,7226,4679,286,5585,4295,427,5937,4481,135,6300,3490,421,5361,3797,841,6321,3858,0,5660,4958,52,8105,4287,118,7008,4330,4,7454,4631,297,6860,5117,619,4749,3868,27,5084,3328,0,4427,3879,0,5064,3468,240,4973,3731,0,4069,4519,0,7993,3834,126,5504,3201,132,5537,2432,303,4331,3486,410,6718,1763,200,4699,4024,0,6934,5243,29,7343,4848,4,3607,2235,366,4365,2364,20,3246,3068,398,4179,2811,0,4691,2867,1357,5842,4221,479,4468,3288,21,4716,2181,23,3652,2343,28,3528,2048,85,3955,2576,63,4615,5710,0,7020,3075,50,2990,4270,77,2673,3404,167,3994,3242,16,2739,5903,35,2033,4102,121,1894,3182,266,4011,2108,25,3118,6597,4,5169,4413,37,2594,3425,0,178.0,23709,18441,9758,0.950924570251071,0.003958570576432948,0.007591779187679627,0.0017894908085244834,0.016376552247708908,0.8696383059487013,0.24000867631907163,0.07917141152865896,0.24049671926685104,0.15064562410329985,0.1802623488419758,0.32660381225660995,0.2777208444353351,0.038942406230784994,0.012002211213403354
25,Iron,2479,1518.0,1380,2555,0,966,1088,1207,1951,44,1251,1989,0,1258,1963,12,1196,2064,0,1209,1986,9,1533,2438,14,1541,2396,0,1263,1784,14,1366,1669,0,1324,1657,18,1459,1605,0,1297,1702,12,1275,2080,157,1361,1948,74,1100,1550,60,1084,1754,3,1272,1373,77,1113,1429,167,1045,1737,9,1266,1614,2,1783,1789,31,1464,1907,0,1656,1785,12,1379,2019,0,1138,1335,9,1224,1192,0,1146,1258,0,1140,1310,21,1175,1320,0,1081,1348,0,1913,1464,43,1559,1188,13,1644,918,82,1447,1047,118,1854,827,29,1549,1151,0,1956,1883,16,2165,1507,4,1461,899,58,1654,787,4,1396,941,74,1542,904,0,1725,1260,543,1620,1733,153,1761,1272,11,1519,844,16,1716,1066,29,1725,899,28,1385,881,17,2238,1070,0,2194,1059,20,986,1593,14,1136,1043,19,1283,1187,10,2029,1271,0,829,2322,27,1153,1279,65,2016,970,19,2484,826,0,1912,1665,26,773,1793,0,47.0,6137,5255,2804,0.9577545195052332,0.0024738344433872504,0.0020932445290199808,0.01065651760228354,0.007611798287345386,0.900475737392959,0.2159847764034253,0.05004757373929591,0.3621313035204567,0.23787446504992868,0.2785306704707561,0.2917261055634807,0.16476462196861627,0.005706134094151213,0.0031251384466376374
26,Jackson,5988,4166.0,3845,6336,0,2667,2640,3283,4352,280,3588,4376,0,3505,4374,69,3287,4700,0,3267,4367,207,4255,5791,88,4834,5270,0,3712,4128,115,4040,3823,0,3855,3773,154,4369,3610,0,3741,3946,167,3818,4905,543,4095,4614,444,3375,3685,204,3630,3812,63,3875,3142,269,3535,3133,541,4315,3137,5,3465,4073,36,5298,3899,62,5739,2875,2,4979,3894,269,6340,733,0,3218,3427,54,3593,2969,0,3323,3178,2,3797,2810,192,3300,3438,0,2959,3649,0,5572,3552,91,3857,2931,106,4191,2178,223,3438,2747,330,5172,1556,96,3686,3058,0,5248,4387,46,5617,3825,3,2768,2098,109,3618,1998,46,2783,2452,365,3289,2518,0,3704,2261,1311,4379,3670,367,3680,2644,21,4409,1551,81,3168,2300,16,3357,1718,72,3796,1963,128,5506,2600,0,5631,2448,55,2812,3446,84,2860,2566,114,3428,2863,33,3943,3008,0,1904,3695,38,2010,2745,192,3815,1821,9,4168,3741,91,4448,3436,64,2918,3196,0,205.0,21145,16416,7992,0.8740862573099415,0.024244639376218322,0.004568713450292397,0.054946393762183236,0.027168615984405457,0.8255360623781677,0.14394493177387915,0.04452972709551657,0.24000974658869395,0.1946946946946947,0.21621621621621623,0.3576076076076076,0.17555055055055055,0.016266266266266267,0.008263968627794292
27,Jefferson,27803,20600.0,18434,29233,123,13263,14856,15567,21219,1458,16306,22014,5,16766,21488,378,16141,22402,11,15317,21706,996,19903,27207,866,19282,27605,5,16018,21475,638,16781,20436,2,15697,20340,898,18055,19809,10,15735,21352,533,16568,23416,3123,17148,23901,1283,14359,19876,971,13875,21443,356,14659,18304,1412,12639,19063,2254,12631,21857,9,14698,22475,221,20158,23516,606,15310,25236,306,19081,23393,1040,17045,23507,293,11891,19132,358,13294,16896,46,11591,18268,164,11644,18772,552,12325,18777,3,10432,20301,81,21443,21092,622,14246,16030,680,14949,13867,1259,12070,16080,1606,18509,11156,1060,13052,17500,17,17604,23411,403,19322,21402,205,9242,11234,772,12022,11142,795,8696,13326,1752,10586,13693,7,13187,12676,3894,15200,19205,1693,11592,13069,77,13886,8412,717,9116,10088,104,9615,8530,687,12249,9922,784,10946,23725,37,19284,15802,445,7644,15361,490,8851,12457,951,10235,13078,236,9399,19292,21,5363,13775,379,6292,11189,989,10575,8898,126,10118,19724,924,15851,16314,534,6304,10645,4,942.0,84900,66349,33984,0.9042939607228444,0.009314383035162549,0.008003134937979472,0.004009103377594236,0.06515546579451084,0.829944686430843,0.24674071952855356,0.07389711977573137,0.21956623310072496,0.12455861581920905,0.2088924199623352,0.3295668549905838,0.2890477871939736,0.0398717043314501,0.05890466463888457
28,Juneau,9213,4874.0,4386,9715,0,3050,4052,3705,6598,317,3866,6829,0,4048,6516,100,3781,6944,3,3717,6656,265,4745,8749,140,5102,8360,0,4247,5688,140,4250,5709,0,4020,5623,227,4657,5429,0,3984,5807,163,4072,7129,532,4697,6441,399,3838,4618,286,4080,4816,68,4250,4139,364,3739,4267,638,4496,4303,36,4224,5429,51,6242,5410,112,6340,4445,0,5473,5805,310,5639,5240,0,3358,4500,52,3513,4092,2,3188,4341,0,3549,4094,229,3311,4593,0,2867,4886,0,6185,5148,171,3969,4101,174,4331,3312,303,3462,3945,363,5292,2649,160,3621,4515,2,5733,6472,140,5979,5849,78,2248,2117,109,3260,2609,132,2569,2940,317,3234,2940,0,4331,3226,1623,4812,4909,495,4177,4050,78,3390,2796,107,2639,3424,26,2649,3079,114,2820,3167,113,3101,6266,4,5541,4114,64,2063,4402,82,2130,3613,37,2715,3853,34,1842,6123,337,1437,4769,118,1536,4001,101,3076,3154,11,3410,6427,2,4955,5355,52,2158,5243,0,290.0,26718,21387,10405,0.9174264740262776,0.023893019123766773,0.005423855613222986,0.013699911160985645,0.021508392948987702,0.8298499088231168,0.13994482629634825,0.03665778276523122,0.2528171319025576,0.1802018260451706,0.241902931283037,0.3654973570398847,0.17924074963959635,0.012205670350792888,0.013448316997337818
29,Kenosha,44623,43012.0,40650,46331,36,22943,19555,30359,32648,2405,31806,33550,6,32174,33066,763,31370,34390,38,30259,33357,1380,42187,44966,1568,38334,48516,15,34476,31507,2071,35777,30823,15,34753,29449,1668,38291,29175,25,33935,31769,1414,35794,36029,4457,35666,37532,2687,26252,27089,1742,27364,28395,631,27425,24826,2099,25240,25606,3129,25215,30468,10,29638,28935,288,44866,34976,1052,41120,36128,1446,42822,33271,3010,49387,17578,1359,23313,25135,420,24315,22992,25,22017,24666,25,17646,29880,1165,22996,25478,12,21079,26660,59,45836,31608,1344,28138,21557,992,28662,17550,2293,25198,19481,2912,34822,13280,1833,27029,22360,35,40023,35486,734,43651,29455,538,21917,14825,650,22330,13567,698,18166,15781,1696,20442,16563,4,27535,17781,7224,31879,28002,2311,27017,19375,364,28051,13467,903,20979,15806,476,21463,13014,1296,25745,14979,1291,22241,35781,7,38538,19962,990,16772,27518,694,20216,18011,1312,22559,22081,560,27692,24239,34,14075,24145,717,15859,16268,1951,24639,14029,369,35222,20627,726,31464,24769,1713,12972,14749,0,1662.0,169151,131452,66120,0.7922892006207589,0.06428201929221312,0.017542525028147158,0.004366612908133768,0.11959498524176125,0.7954462465386605,0.25521102759942793,0.09500045644037368,0.1822338191887533,0.1543708408953418,0.18549606775559588,0.33781004234724743,0.2566999395039322,0.06300665456745312,0.24026755263767186
30,Kewaunee,7999,4096.0,4062,8244,0,2535,4124,3360,6155,309,3602,6259,0,3529,6229,77,3273,6626,4,3214,6279,249,3975,7927,167,3413,8614,0,3572,5792,105,3926,5420,0,3672,5376,257,4287,5158,0,3548,5694,120,3627,6617,522,3697,6679,388,3405,5269,250,3378,5676,34,4121,4480,245,3409,4855,530,3054,5926,0,3387,6107,16,5152,5747,88,4779,5847,0,5149,5419,350,5560,5214,0,3344,4577,124,4030,3731,1,3387,4394,2,3799,4373,7,3469,4611,0,2950,5030,0,5902,4711,172,4354,4479,212,5258,2864,548,3714,4316,535,6557,2086,327,4339,4543,2,5176,5970,128,5780,5393,40,2583,2987,481,4324,2639,138,2772,3730,602,3741,3564,0,4311,3431,1301,4671,4883,531,4049,3569,47,4962,2062,106,3447,3399,66,4239,2337,228,4218,2639,187,1938,7994,0,5356,4471,110,2581,4579,63,3033,3589,245,3155,4044,86,4692,3747,11,2465,4455,91,2452,3943,340,3915,3114,51,3044,7231,4,4956,4755,191,3085,4138,0,229.0,20563,16113,8123,0.9457580835350339,0.0028548377086824303,0.002978961087320797,0.004530503320300378,0.030410227766399803,0.8554583255756222,0.1765655061130764,0.049090796251473966,0.26394836467448646,0.1316016250153884,0.19992613566416348,0.3592268866182445,0.27514465099101315,0.017727440600763266,0.023184363210791332
31,La Crosse,29965,39953.0,39563,31177,0,23964,13287,29487,22391,2593,31849,22789,13,32119,22325,725,30695,24413,27,29333,23263,1488,37845,28684,1354,40504,26698,20,32102,23536,1441,33059,22662,0,31843,22126,1472,35732,21160,0,31716,23356,1213,32406,26378,4889,32902,27694,2100,23695,21914,1621,25428,22320,670,24542,20698,1764,23031,19549,3496,27954,19937,2,24650,22608,352,36693,25751,1018,41057,19766,4,34203,26272,1877,41097,12068,0,20638,20752,517,22034,18762,4,19874,20453,8,22374,18702,1113,21314,20479,15,19233,21629,10,38522,23699,993,24629,17221,1112,24438,14831,2075,20813,17310,2693,30291,11144,1270,24365,17616,55,32839,28007,662,36425,24007,377,15235,12580,1261,19794,12825,928,15134,15504,2729,17855,16091,48,23648,16482,5861,28456,24329,2775,22836,18893,298,25627,10012,824,17519,12625,393,17714,11172,865,21451,12863,1163,35157,18857,266,37731,16200,754,14892,21983,621,16809,16085,1516,20345,16629,583,26876,18917,101,10392,19938,576,10980,16026,1740,20356,10434,236,20453,28143,925,27935,22006,661,14164,16790,0,1336.0,120784,96611,49778,0.9025680305555268,0.014553208226806471,0.038918963679084165,0.004005755038246162,0.02162279657595926,0.7744977280019874,0.283466685988138,0.10664417095361811,0.20424175300949168,0.1598497328136928,0.23526457471172005,0.3301659367592109,0.20661738117240547,0.06482783559001969,0.10322086636681932
32,Lafayette,5064,3545.0,3056,5592,0,2228,2173,2845,3474,120,2817,3710,0,3004,3497,17,2786,3779,0,2701,3614,57,3646,4820,35,3835,4455,0,3134,3323,27,3346,3071,0,2914,3307,38,3591,2899,0,2919,3370,49,3288,3977,397,3756,3659,109,2782,2964,139,2981,3189,21,3194,2467,132,2627,2738,384,3177,2757,0,2921,3885,7,4536,3314,37,3673,3318,0,4108,3548,107,3408,4190,268,2565,2924,30,2911,2464,4,2394,2892,4,2773,2609,111,2691,2888,1,2212,3236,4,4731,2982,68,3345,2405,44,3513,1872,189,2647,2614,163,4274,1413,64,2752,2988,0,4401,3928,38,4677,3520,10,2313,1647,67,2906,1761,5,2005,2400,106,2644,2146,2,3259,2170,1024,3708,3334,193,3140,2578,26,3291,1648,16,2748,1963,5,2768,1729,48,2897,1947,26,2869,4202,0,4685,2278,12,1740,3417,10,1868,2694,43,2574,2601,8,1824,4325,6,1517,3411,24,1402,2678,128,3140,1733,7,2234,4839,1,3547,3568,6,2024,3194,0,114.0,16611,12491,6647,0.9289888719878312,0.0016812104715395084,0.0028020174525658476,0.002882075094067729,0.05259787046673605,0.8290769353934833,0.1730045632855656,0.04587302858057802,0.25282203186294133,0.14457650067699715,0.22882503384985708,0.3679855573943132,0.21272754626147133,0.009177072363472243,0.010122634334688624
33,Langlade,7486,3828.0,3432,7873,0,2339,3959,2794,5904,262,3055,5919,0,2958,5965,51,2818,6190,0,2733,5922,234,3703,7330,106,3676,7413,0,2825,5711,728,3394,5629,11,3293,5432,248,3889,5239,0,3023,5871,187,3250,6478,458,3464,6006,417,2759,5217,162,2920,5477,21,3297,4482,269,2952,4435,542,2706,5533,38,2898,5621,28,4573,5816,103,3614,6202,0,4580,5255,340,3758,5817,4,2754,4481,18,3151,3945,0,2742,4254,0,2845,4249,186,2882,4433,0,2356,4841,0,5182,5080,107,4184,4276,99,4584,3174,246,3426,4065,322,6009,2304,124,3577,4623,2,4751,6234,49,5562,5272,10,3320,3238,169,4030,2857,63,2711,3518,593,3661,3426,0,4074,3205,1350,4199,5125,397,3629,3889,49,3932,2285,40,3112,3087,41,3623,2206,81,3443,2630,65,2386,6774,0,5931,3301,57,2376,4108,40,2542,3233,115,2854,3641,50,3428,4593,8,1745,4536,68,2084,3497,209,3941,2446,32,2211,7270,0,4193,5370,75,2340,3636,2,215.0,19491,15647,8463,0.9447178372851026,0.003195500734965169,0.0035789608231609894,0.011439892631175305,0.01604141368952515,0.8218827890330415,0.14648175369080335,0.04428964018661724,0.29903495877804054,0.19768403639371382,0.2692898499350112,0.3276615857261019,0.16058135412974123,0.016660758596242466,0.008642979879164125
34,Lincoln,10274,6252.0,5787,10870,1,3608,4868,4947,7953,451,5359,7985,0,5226,8084,202,4919,8540,1,4775,8143,354,6260,10016,189,6128,10122,0,5334,7864,310,5662,7438,0,5527,7128,303,6463,6901,0,5184,7732,259,5370,8401,940,5784,8031,748,4558,6876,398,5104,6867,150,5533,5692,507,4788,5768,1023,4780,7078,62,5352,7201,98,7564,7456,158,6306,8517,4,7380,6911,645,6713,7236,182,4872,6201,183,5559,5461,1,4703,6147,1,4607,6218,484,4945,6202,1,4278,6860,3,8425,6520,325,6019,4714,351,6165,3918,595,4929,4827,734,7882,2785,346,5055,5723,2,7483,8024,192,8878,6601,79,4377,3661,244,5791,3579,287,4129,4669,787,5253,4577,0,5033,3337,1676,5519,5662,722,4306,3448,38,4904,2285,349,3873,3555,58,4469,2655,235,4248,2762,567,6919,4879,0,8326,3157,224,2950,4376,206,3407,3315,849,3692,3634,209,5653,4450,0,2413,4917,113,2841,4068,341,4556,2914,85,6310,3971,0,5523,4994,140,2892,3583,0,411.0,28415,23017,12109,0.9596819741929878,0.002215753573445714,0.004127384107398879,0.003953599513403137,0.013946213668158318,0.855671894686536,0.17408871703523482,0.051483685971238646,0.26901855150540904,0.1901065323313238,0.20810967049302173,0.35395160624329014,0.2128169130398877,0.01602114129985961,0.012485527289983676
